timestamp_EST,poster_url,post_text,image_alts,flags
2020-12-04 08:47:30,https://www.facebook.com/DonaldTrump/,"Nevada 'fraud': 1,500 dead voters, 42,248 voted multiple times, RV camps as 'homes'","Nevada 'fraud': 1,500 dead voters, 42,248 voted multiple times, RV camps as 'homes'","The US has laws, procedures, and established institutions to ensure the integrity of our elections. Source: Bipartisan Policy Center See Election Results"
2020-12-30 07:31:52,https://www.facebook.com/DonaldTrump/,"New Lott study estimates 11,350 absentee votes lost to Trump in Georgia. Another 289,000 ""excess (fraudulent) votes"" across GA, AZ, MI, NV, PA, and WI. Check it out! https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3756988","Image may contain: one or more people, people on stage, sky, cloud, night and outdoor","The US has laws, procedures, and established institutions to ensure the integrity of our elections. Source: Bipartisan Policy Center Get Accurate Election Info"
2020-12-15 11:35:21,https://www.facebook.com/DonaldTrump/,Mo Brooks: Trump Won the Electoral College --- I Can Be a Part of the Surrender Caucus or I Can Fight for Our Country,Mo Brooks: 'Trump Won the Electoral College' --- I Can Be a Part of the 'Surrender Caucus' or I Can Fight for Our Country,"Joe Biden is the projected winner of the 2020 US Presidential Election. Sources: Reuters/NEP/Edison, others See Election Results"
2020-12-04 02:01:48,https://www.facebook.com/DonaldTrump/,Pro-Biden effort offered Native Americans $25-$500 Visa gift cards and jewelry to vote,Pro-Biden effort offered Native Americans $25-$500 Visa gift cards and jewelry to vote,"The US has laws, procedures, and established institutions to ensure the integrity of our elections. Source: Bipartisan Policy Center See Election Results"
2020-12-27 11:11:34,https://www.facebook.com/DonaldTrump/,"Michigan AG Dana Nessel Pursues Sanctions Against Lawyers Questioning Election - These lawyers are true patriots who are fighting for the truth and, obviously, getting very close. AG should be sanctioned. Fight on!",Michigan AG Dana Nessel Pursues Sanctions Against Lawyers Questioning Election,"The US has laws, procedures, and established institutions to ensure the integrity of our elections. Source: Bipartisan Policy Center Get Accurate Election Info"
2020-12-04 03:13:11,https://www.facebook.com/DonaldTrump/,Dominion contractor at Detroit counting center says thousands of ballots were scanned multiple times,Dominion contractor at Detroit counting center says thousands of ballots were scanned multiple times,"Election officials follow strict rules when it comes to ballot counting, handling and reporting. Source: Bipartisan Policy Center See Election Results"
2020-12-11 05:12:34,https://www.facebook.com/DonaldTrump/,"So true, a must read!",Fox News Media Suicide | The American Spectator | USA News and Politics,"Joe Biden is the projected winner of the 2020 US Presidential Election. Sources: Reuters/NEP/Edison, others See Election Results"
2020-12-20 00:09:00,https://www.facebook.com/DonaldTrump/,"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump - A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!",Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump,"The US has laws, procedures, and established institutions to ensure the integrity of our elections. Source: Bipartisan Policy Center Get Accurate Election Info"
2020-12-02 04:01:10,https://www.facebook.com/DonaldTrump/,,"Whistleblowers: Postal Service labeled Trump mail Undeliverable, 388,000 ballots backdated, disappear",Voting by mail has a long history of trustworthiness in the US. Voter fraud is extremely rare across voting methods. Source: Bipartisan Policy Center See Election Results
2020-12-04 11:11:33,https://www.facebook.com/DonaldTrump/,,"The Republican National Committee hosts a Victory Rally featuring President Donald J. Trump, Senator David Perdue, Senator Kelly Loeffler, and other republicans in Valdosta, GA","Joe Biden is the projected winner of the 2020 US Presidential Election. Sources: Reuters/NEP/Edison, others See Election Results"
